StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,C1_1,C1_2,C1_3,C1_4,C1_5,AnchoredMaxDiff7,C2_1,C2_2,C2_3,C2_4,C2_5,AnchoredMaxDiff8,C3_1,C3_2,C3_3,C3_4,C3_5,AnchoredMaxDiff9,C4_1,C4_2,C4_3,C4_4,C4_5,AnchoredMaxDiff10,C5_1,C5_2,C5_3,C5_4,C5_5,AnchoredMaxDiff11,C6_1,C6_2,C6_3,C6_4,C6_5,AnchoredMaxDiff12,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,vers_MAXDIFF,1.1_MAXDIFF,1.2_MAXDIFF,1.3_MAXDIFF,1.4_MAXDIFF,1.5_MAXDIFF,2.1_MAXDIFF,2.2_MAXDIFF,2.3_MAXDIFF,2.4_MAXDIFF,2.5_MAXDIFF,3.1_MAXDIFF,3.2_MAXDIFF,3.3_MAXDIFF,3.4_MAXDIFF,3.5_MAXDIFF,4.1_MAXDIFF,4.2_MAXDIFF,4.3_MAXDIFF,4.4_MAXDIFF,4.5_MAXDIFF,5.1_MAXDIFF,5.2_MAXDIFF,5.3_MAXDIFF,5.4_MAXDIFF,5.5_MAXDIFF,6.1_MAXDIFF,6.2_MAXDIFF,6.3_MAXDIFF,6.4_MAXDIFF,6.5_MAXDIFF,revision_MAXDIFF,Q_DataPolicyViolations
2025-08-24 16:55:52,2025-08-24 16:55:53,2,,100,1,1,2025-08-24 16:55:53,R_bIT6Id8fNJhNDlI,,,,,,,test,,1,2,,,,2,,2,,1,,1,,1,,2,,3,,2,,,1,3,,,,2,1,2,1,,2,,,1,,,,1,2,,2,1,,2,9,Fish,Rabbit,Dog,Guinea pig,Lizard,Bird,Cat,Fish,Lizard,Dog,Hamster,Fish,Rabbit,Horse,Bird,Guinea pig,Turtle,Lizard,Bird,Hamster,Turtle,Dog,Horse,Cat,Rabbit,Horse,Guinea pig,Bird,Hamster,Turtle,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:53,2025-08-24 16:55:53,2,,100,0,1,2025-08-24 16:55:53,R_bklblar6NZ9XsnI,,,,,,,test,,2,1,,,,3,1,2,,,,1,1,,,,2,3,1,,,2,,3,,2,1,,,1,1,,2,,,3,,,,2,2,,2,1,,1,10,Lizard,Horse,Fish,Cat,Bird,Bird,Rabbit,Lizard,Horse,Dog,Fish,Dog,Cat,Lizard,Rabbit,Turtle,Fish,Horse,Bird,Lizard,Cat,Turtle,Hamster,Dog,Horse,Guinea pig,Cat,Fish,Rabbit,Turtle,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:53,2025-08-24 16:55:54,2,,100,1,1,2025-08-24 16:55:54,R_2983s26NCvVbrnM,,,,,,,test,,,,1,2,,2,,2,,1,,2,,1,2,,,3,2,,,,1,2,,1,,2,,2,,2,,,1,3,,,,1,1,,2,2,,2,11,Bird,Turtle,Fish,Rabbit,Horse,Dog,Horse,Bird,Guinea pig,Cat,Cat,Guinea pig,Rabbit,Bird,Hamster,Guinea pig,Horse,Lizard,Hamster,Rabbit,Lizard,Rabbit,Dog,Turtle,Bird,Horse,Fish,Turtle,Dog,Hamster,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:54,2025-08-24 16:55:54,2,,100,0,1,2025-08-24 16:55:54,R_79urPK3SaabwRUO,,,,,,,test,,1,,2,,,3,1,,2,,,1,,,2,1,,1,1,,,2,,2,,1,2,,,2,1,,,,2,1,,,,1,1,,2,2,,2,12,Lizard,Cat,Bird,Turtle,Guinea pig,Cat,Rabbit,Lizard,Fish,Dog,Turtle,Rabbit,Dog,Guinea pig,Fish,Guinea pig,Fish,Turtle,Bird,Hamster,Fish,Guinea pig,Rabbit,Horse,Cat,Rabbit,Bird,Hamster,Horse,Lizard,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:54,2025-08-24 16:55:55,2,,100,1,1,2025-08-24 16:55:55,R_3EHlAzJx1N17M1g,,,,,,,test,,,1,,2,,1,2,,,1,,2,1,2,,,,2,1,,2,,,2,,,1,2,,3,,2,,1,,3,,,,1,1,,1,2,,1,13,Fish,Rabbit,Turtle,Hamster,Horse,Cat,Turtle,Horse,Rabbit,Fish,Turtle,Horse,Cat,Dog,Bird,Hamster,Bird,Dog,Cat,Guinea pig,Horse,Fish,Bird,Guinea pig,Dog,Dog,Lizard,Hamster,Bird,Rabbit,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:55,2025-08-24 16:55:55,2,,100,0,1,2025-08-24 16:55:55,R_5vCpWxp6W2l62to,,,,,,,test,,1,,,,2,2,1,,,,2,2,,2,,,1,3,2,,,1,,2,,2,1,,,1,,,2,,1,2,,,,1,2,,2,2,,2,14,Dog,Bird,Hamster,Cat,Turtle,Rabbit,Guinea pig,Dog,Turtle,Hamster,Turtle,Lizard,Horse,Hamster,Fish,Hamster,Cat,Turtle,Guinea pig,Lizard,Guinea pig,Hamster,Fish,Bird,Horse,Lizard,Dog,Bird,Fish,Guinea pig,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:55,2025-08-24 16:55:55,2,,100,0,1,2025-08-24 16:55:56,R_8oTZjVneGUVhMpM,,,,,,,test,,,,1,2,,1,1,,2,,,1,,,2,1,,3,1,,,,2,2,,1,,,2,1,2,1,,,,1,,,,2,1,,2,2,,2,15,Bird,Cat,Lizard,Fish,Turtle,Horse,Dog,Hamster,Rabbit,Fish,Cat,Hamster,Bird,Turtle,Guinea pig,Lizard,Rabbit,Guinea pig,Hamster,Horse,Hamster,Bird,Cat,Lizard,Rabbit,Turtle,Horse,Fish,Guinea pig,Dog,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:56,2025-08-24 16:55:56,2,,100,0,1,2025-08-24 16:55:56,R_eOL4Y8QjX2zlnvw,,,,,,,test,,1,2,,,,2,,,,2,1,1,,,2,1,,1,,2,1,,,1,,1,,2,,3,1,2,,,,2,,,,1,1,,1,1,,2,16,Bird,Horse,Fish,Rabbit,Dog,Lizard,Turtle,Dog,Guinea pig,Horse,Dog,Hamster,Turtle,Cat,Guinea pig,Rabbit,Bird,Hamster,Fish,Lizard,Cat,Guinea pig,Lizard,Horse,Hamster,Guinea pig,Fish,Rabbit,Turtle,Bird,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:56,2025-08-24 16:55:56,2,,100,0,1,2025-08-24 16:55:56,R_eICAfcp5xqB6PBA,,,,,,,test,,,,,2,1,3,,,,2,1,2,,2,,,1,3,2,1,,,,2,,1,2,,,1,,,2,,1,1,,,,1,2,,2,2,,2,17,Bird,Fish,Turtle,Cat,Dog,Horse,Cat,Guinea pig,Dog,Bird,Rabbit,Lizard,Hamster,Fish,Guinea pig,Lizard,Hamster,Bird,Horse,Rabbit,Turtle,Rabbit,Lizard,Hamster,Horse,Guinea pig,Turtle,Dog,Lizard,Fish,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:56,2025-08-24 16:55:57,2,,100,1,1,2025-08-24 16:55:57,R_9Xl3NqQSdVd0cPc,,,,,,,test,,,,2,1,,1,,,2,1,,2,,,1,,2,2,2,,1,,,2,,,1,,2,3,,2,,1,,2,,,,2,1,,2,2,,2,18,Bird,Guinea pig,Lizard,Rabbit,Horse,Dog,Hamster,Rabbit,Horse,Bird,Fish,Lizard,Cat,Turtle,Rabbit,Horse,Cat,Guinea pig,Fish,Dog,Hamster,Bird,Turtle,Lizard,Cat,Cat,Fish,Hamster,Dog,Guinea pig,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:57,2025-08-24 16:55:57,2,,100,0,1,2025-08-24 16:55:57,R_dgRwIH5CsaAb0Vg,,,,,,,test,,,,1,,2,3,2,,,1,,2,2,,,,1,2,,1,2,,,3,,,,2,1,1,2,,,1,,1,,,,2,2,,1,1,,1,19,Lizard,Dog,Horse,Guinea pig,Bird,Rabbit,Hamster,Bird,Fish,Cat,Bird,Cat,Turtle,Horse,Fish,Dog,Horse,Lizard,Bird,Rabbit,Guinea pig,Bird,Rabbit,Turtle,Hamster,Cat,Turtle,Guinea pig,Lizard,Dog,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:57,2025-08-24 16:55:58,2,,100,1,1,2025-08-24 16:55:58,R_ehwZ7O3knbpBp9I,,,,,,,test,,1,,,2,,2,,,2,,1,3,,2,1,,,3,1,,,2,,1,,,1,,2,3,,1,2,,,1,,,,1,2,,1,2,,1,20,Dog,Fish,Hamster,Lizard,Guinea pig,Cat,Bird,Lizard,Horse,Dog,Rabbit,Dog,Guinea pig,Cat,Lizard,Fish,Cat,Dog,Hamster,Rabbit,Turtle,Guinea pig,Cat,Bird,Horse,Hamster,Turtle,Rabbit,Fish,Bird,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:58,2025-08-24 16:55:58,2,,100,0,1,2025-08-24 16:55:58,R_eFhF11u8psTMMBw,,,,,,,test,,2,,1,,,2,2,1,,,,3,,,2,,1,1,2,1,,,,3,1,,,2,,3,,1,2,,,3,,,,2,1,,1,1,,1,21,Hamster,Turtle,Rabbit,Fish,Guinea pig,Horse,Lizard,Guinea pig,Cat,Dog,Bird,Dog,Turtle,Lizard,Fish,Dog,Cat,Bird,Hamster,Horse,Lizard,Rabbit,Fish,Dog,Cat,Guinea pig,Hamster,Horse,Turtle,Bird,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:58,2025-08-24 16:55:59,2,,100,1,1,2025-08-24 16:55:59,R_0U5RCcgNdfsL6pU,,,,,,,test,,,,,2,1,1,,,2,1,,3,,1,2,,,2,,1,,,2,3,1,,,,2,2,,2,,1,,1,,,,1,2,,2,2,,1,22,Cat,Turtle,Dog,Horse,Hamster,Turtle,Dog,Cat,Hamster,Guinea pig,Rabbit,Bird,Guinea pig,Fish,Lizard,Bird,Horse,Hamster,Cat,Fish,Guinea pig,Lizard,Turtle,Dog,Rabbit,Fish,Guinea pig,Rabbit,Lizard,Bird,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:59,2025-08-24 16:55:59,2,,100,0,1,2025-08-24 16:55:59,R_1MSdRx40MOKy8Zg,,,,,,,test,,,,1,,2,2,,,2,,1,2,,,2,,1,2,2,,,,1,1,1,,,,2,2,1,,,2,,3,,,,2,2,,1,2,,2,23,Fish,Dog,Cat,Rabbit,Turtle,Rabbit,Guinea pig,Horse,Fish,Hamster,Horse,Hamster,Guinea pig,Bird,Fish,Lizard,Fish,Bird,Cat,Horse,Turtle,Bird,Dog,Guinea pig,Lizard,Dog,Cat,Lizard,Turtle,Rabbit,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:55:59,2025-08-24 16:55:59,2,,100,0,1,2025-08-24 16:56:00,R_3eXHJxVCYLZ8L0q,,,,,,,test,,2,1,,,,2,,,1,,2,3,,,1,2,,2,2,1,,,,1,,,1,,2,2,1,,,,2,2,,,,2,1,,2,2,,1,24,Guinea pig,Dog,Bird,Hamster,Cat,Horse,Hamster,Fish,Turtle,Bird,Rabbit,Turtle,Horse,Dog,Hamster,Lizard,Rabbit,Dog,Cat,Turtle,Hamster,Cat,Guinea pig,Fish,Lizard,Bird,Fish,Lizard,Horse,Rabbit,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:00,2025-08-24 16:56:00,2,,100,0,1,2025-08-24 16:56:00,R_8Aed3ESMCqbR1lA,,,,,,,test,,1,,2,,,3,,1,2,,,2,,1,2,,,1,,,1,2,,1,2,1,,,,1,,1,2,,,1,,,,2,1,,1,2,,2,25,Hamster,Rabbit,Lizard,Dog,Bird,Cat,Horse,Guinea pig,Rabbit,Dog,Rabbit,Lizard,Fish,Turtle,Cat,Horse,Bird,Hamster,Cat,Turtle,Fish,Dog,Turtle,Guinea pig,Lizard,Bird,Turtle,Dog,Fish,Guinea pig,5d78cdd0-8145-11f0-b804-559a6c8a454f,
